lexeme               line  tokenName       valueIfNumber   parentNodeSymbol     isLeaf NodeSymbol          
-------------------- ----- --------------- --------------- -------------------- ----- --------------------
----                 0                     ----            dataType             no    primitiveDatatype   
----                 0                     ----            declaration          no    dataType            
type                 31    TK_TYPE         ----            declaration          yes                       
----                 0                     ----            stmts                no    declarations        
;                    28    TK_SEM          ----            declaration          yes                       
----                 0                     ----            declarations         no    declaration         
----                 0     EPSILON         ----            global_or_not        yes                       
----                 0                     ----            declaration          no    global_or_not       
d4                   28    TK_ID           ----            declaration          yes                       
:                    28    TK_COLON        ----            declaration          yes                       
#marks               28    TK_RUID         ----            constructedDatatype  yes                       
----                 0                     ----            dataType             no    constructedDatatype 
record               28    TK_RECORD       ----            constructedDatatype  yes                       
----                 0                     ----            declaration          no    dataType            
type                 28    TK_TYPE         ----            declaration          yes                       
----                 0     EPSILON         ----            typeDefinitions      yes                       
----                 0                     ----            typeDefinitions      no    typeDefinitions     
----                 0                     ----            stmts                no    typeDefinitions     
endrecord            25    TK_ENDRECORD    ----            typeDefinition       yes                       
----                 0                     ----            actualOrRedefined    no    typeDefinition      
----                 0     EPSILON         ----            moreFields           yes                       
----                 0                     ----            moreFields           no    moreFields          
----                 0                     ----            fieldDefinitions     no    moreFields          
;                    24    TK_SEM          ----            fieldDefinition      yes                       
----                 0                     ----            moreFields           no    fieldDefinition     
chemistry            24    TK_FIELDID      ----            fieldDefinition      yes                       
:                    24    TK_COLON        ----            fieldDefinition      yes                       
real                 24    TK_REAL         ----            primitiveDatatype    yes                       
----                 0                     ----            fieldtype            no    primitiveDatatype   
----                 0                     ----            fieldDefinition      no    fieldtype           
type                 24    TK_TYPE         ----            fieldDefinition      yes                       
----                 0                     ----            typeDefinition       no    fieldDefinitions    
;                    23    TK_SEM          ----            fieldDefinition      yes                       
----                 0                     ----            fieldDefinitions     no    fieldDefinition     
physics              23    TK_FIELDID      ----            fieldDefinition      yes                       
:                    23    TK_COLON        ----            fieldDefinition      yes                       
real                 23    TK_REAL         ----            primitiveDatatype    yes                       
----                 0                     ----            fieldtype            no    primitiveDatatype   
----                 0                     ----            fieldDefinition      no    fieldtype           
type                 23    TK_TYPE         ----            fieldDefinition      yes                       
;                    22    TK_SEM          ----            fieldDefinition      yes                       
----                 0                     ----            fieldDefinitions     no    fieldDefinition     
maths                22    TK_FIELDID      ----            fieldDefinition      yes                       
